"CO_IES","TP_COR_RACA","TP_SEXO","IN_CONCLUINTE","IN_APOIO_BOLSA_PERMANENCIA","value","ANO_CENSO_SUP"
3034,3,2,0,0,198,2009
3034,3,2,1,0,7,2009
3034,3,1,0,0,636,2009
3034,3,1,1,0,14,2009
3034,4,2,0,0,6,2009
3034,4,1,0,0,34,2009
3034,4,1,1,0,1,2009
3034,5,2,0,0,5,2009
3034,5,1,0,0,12,2009
3034,9,2,0,0,708,2009
3034,9,2,1,0,95,2009
3034,9,1,0,0,1416,2009
3034,9,1,1,0,169,2009
3216,0,1,1,0,1,2009
3216,1,2,1,0,6,2009
3216,1,1,1,0,2,2009
3216,2,2,0,0,1,2009
3216,2,2,1,0,4,2009
3216,2,1,0,0,2,2009
3216,3,2,0,0,3,2009
3216,3,2,1,0,22,2009
3216,3,1,0,0,1,2009
3216,3,1,1,0,4,2009
3216,4,2,1,0,4,2009
3216,4,1,1,0,3,2009
3216,9,2,0,0,2,2009
3216,9,2,1,0,5,2009
3216,9,1,1,0,1,2009
3270,0,2,0,0,3,2009
3270,0,1,0,0,8,2009
3270,1,2,0,0,3,2009
3270,1,1,0,0,2,2009
3270,2,2,0,0,1,2009
3270,2,1,0,0,1,2009
3270,3,2,0,0,5,2009
3270,3,1,0,0,3,2009
3270,9,2,0,0,153,2009
3270,9,2,1,0,5,2009
3270,9,1,0,0,101,2009
3270,9,1,1,0,4,2009
3377,0,2,0,0,75,2009
3377,0,2,1,0,9,2009
3377,0,1,0,0,267,2009
3377,0,1,1,0,21,2009
3377,9,1,0,0,1,2009
3588,0,2,0,0,55,2009
3588,0,2,1,0,2,2009
3588,0,1,0,0,177,2009
3588,0,1,1,0,30,2009
3588,1,2,0,0,81,2009
3588,1,2,0,1,1,2009
3588,1,1,0,0,172,2009
3588,1,1,1,0,1,2009
3588,2,2,0,0,232,2009
3588,2,2,1,0,5,2009
3588,2,1,0,0,573,2009
3588,2,1,1,0,22,2009
3588,3,2,0,0,459,2009
3588,3,2,1,0,11,2009
3588,3,1,0,0,1305,2009
3588,3,1,1,0,59,2009
3588,4,2,0,0,2,2009
3588,4,1,0,0,11,2009
3588,5,2,0,0,3,2009
3588,5,1,0,0,13,2009
3588,9,2,0,0,96,2009
3588,9,2,1,0,14,2009
3588,9,1,0,0,252,2009
3588,9,1,1,0,26,2009
3774,0,2,0,0,55,2009
3774,0,2,1,0,2,2009
3774,0,1,0,0,265,2009
3774,0,1,1,0,4,2009
3774,1,2,0,0,11,2009
3774,1,1,0,0,3,2009
3774,2,2,0,0,44,2009
3774,2,2,1,0,2,2009
3774,2,1,0,0,16,2009
3774,3,2,0,0,56,2009
3774,3,2,1,0,2,2009
3774,3,1,0,0,22,2009
